info@andernacher-tennisclub.de ;Andernacher Tennisclub 1926 e.v.
scfriesheim.tennis@t-online.de;SC Schwarz-Weiss Friesheim
roman.kurth@t-online.de;TC Erftstadt-Gymnich
geschaeftsstelle@erftstadt-tennis.de;TSE Erftstadt
KWschmitz@t-online.de;SV 1920 Holzweiler
steinmetz007@surfeu.de;TC Blau-Weiss Erkelenz
walter.elschenbroich@t-online.de;TC Schwarz-Weiß Golkrath
webmaster@tc.gerderath.de;TC Gerderath
tennis@nikolin.de;TC Blau-Gelb Eschweiler
Rolf-D.Loehr@t-online.de;ESG 1895/06 Eschweiler TA
guido.fuss@rwerheinbraun.com;BSG RWE Rheinbraun AG KW Weisweiler
TeDeKa@t-online.de;TC Königsdorf
vthc-gw@t-online.de;VTHC Grün-Weiß Frechen
tc-langbroich@gmx.de;TC Langbroich
Jansen_Leon60@hotmail.com;FC Concordia Stahe Niederbusch
postmaster@tc-rw-gk.de;TC Rot-Weiss Geilenkirchen
VfT.Gummersbach@gmx.de;VfT Gummersbach
thomas.schaefer.blens@freenet.de;TC Blens 77
tc-Lieck@nexgo.de;TC Rot-Weiss Lieck
reiff@t-online.de;TuS Rheinland Dremmen
AnneReiners@freenet.de;TC Karken
Andreas.Pollmeier@euka.de;Tennisverein Industriepark Oberbruch e.V
Konstruktion-M.Brauner@t-online.de;TC Unterbruch
info@tennisclub-blau-weiss-hennef.de;TC BW Hennef
rudolfferfer@aol.com;Herzogenrather TC Rot-Gold
bgmerkstein@t-online.de;TC Blau-Gold Merkstein
GaWem@cerobear.de;Kohlscheider TC
info@sv-sw-husta.de;SV SW Huchem-Stammeln
Bbraun52@t-online.de;TC Schwarz-Weiss Hückelhoven
tcbwhueckelhoven@gmx.de;TC Blau-Weiss Hückelhoven
elke.graf.gey@t-online;TC Hürtgenwald-Gey
ingolf.gerold@t-online.de;Sportgemeinschaft Germania Burgwart
TC_Gleuel@yahoo.de;TC Rot-Weiß Hürth-Gleuel
thienemann@kaufhof.de;TC Burg Kendenich
Tennissport@thc-hürth.de;"THC Hürth ""Rot-Weiss"" e.V."
josef.stockem@t-online.de;TC Inden
tennis@blau-weiss-juelich.de;TV Blau-Weiss Jülich
w.syben@sydra.de;Kirchberger TC
bartolomey@t-online.de;TC Blau-Weiß Lich-Steinstrass
rae_kreuzer@freenet.de;TV Grün-Weiß Welldorf/Güsten
tcbarmen@web.de;TC Grün-Weiß Barmen
post@tc-kerpen.de;TC Kerpen
h.-j.passin@t-online.de;TuS 1889 Buir
info.@tcbw-tuernich.de;TC Blau-Weiss Türnich
tvcw07@web.de;TV Ensen Westhoven
tcviktoriacn@t-online.de;TC Viktoria
clubmanager@tc-weiden.de;TC Weiden
decksteintc@aol.com;TG Deckstein
webmaster@sg-dlr.de;SG DLR Köln-Porz e.V.
tuskoelnrrh@t-online.de;TuS 1874 Rrh. Köln
tennis@tv-bexbach.de ;TV  1886 Bexbach,  Abt. Tennis
info@tennisnalbach.de;TV Germania 1907 Nalbach,  Abt. Tennis
kthwese@asc-dudweiler.de;TC Blau-Weiss im ASC Dudweiler
roth@tchonzrath.de  ;TC Honzrath 
Dieter.Kessler@axa.de;TC Illtal Illingen;
tennis@tv09jaegersburg.de;TV  09 Jägersburg,  Abt.Tennis;
ignaz.sewald@t-online.de;TC Schwarz-Weiß Klarenthal;
info@tc-lebach.de;TC Rot-Weiß Lebach;
juergen.michel@saarbruecken.de;TC Ludweiler ;
h.theobald@tennisclub-nunkirchen.de;TC Grün-Weiß 1973 Nunkirchen;
vorstand@blauweiss.de;TC Blau-Weiß Saarbrücken;
TC-Steinbach@onlinehome.de;TC Steinbach;
vorstand@tennisclub-orscholz.de;Spielbank-Cup TC Orscholz;
dr.emmerich@t-online.de;TC Rot-Weiß Goch e.V.;
evelynoeking@aol.com;Grefrather TC Rot-Weiß e.V.;
heinz_schroeder@gmx.de;TC Oedt 1955 e.V.;
winfried.pohl@tennis-grevenbroich.de;TC RW 1949 e.V. Grevenbroich;
webmaster@tcissum.de;TC BW Issum e.V.;
info@tennis-blauweiss-kamp-lintfort.de;TC BW Kamp-Lintfort e.V;
webmaster@tcgwg.de;TC GWG 1920 e.V. Krefeld e.V.;
bhabrich@hotmail.com;Lindentaler TC 1974 e.V.
geschäftsführer@postsportverein-krefeld.de;TK Schwarz-Gelb e.V. Krefeld
info@tc-hardt.de;TC Hardt e.V.
info@tc-strümp.de;TC Strümp e.V.
buero@td-lank07.de;TuS Treudeutsch 07 Lank e.V
mail@tg-rotweiss.de;TG Rot-Weiß e.V. MG
F.Hoesel@online-club.de;Odenkirchener TC e.V.
tc-rheindahlen@gmx.net;TC Rheindahlen e.V.
info@tc-asberg.de ;TC Sportpark Moers-Asberg
tc-sg@repelen.de;TC SG Rheinkamp-Repelen e.V.
Bernd.Balkau@gmx.de;TV Schwafheim 1900 e.V.
info@bwneuss.de;TC Blau-Weiss Neuss e.V.
baumkh@aol.com;TC Grün-Weiss e.V. Neuss
kurt.brunner@ish.de ;TC Weissenberg e.V.
info@uetv.de;Uedesheimer TV e.V.
webmaster@tg-waldniel.de;TG Waldniel 1953 e.V.
TC-Schiefbahn@t-online.de;TC Schiefbahn e.V.
aboergmann@tus-borth.de;TuS Borth 1971 e.V.
webmaster@tc-solvay-rheinberg.de;TC Solvay-Rheinberg e.V.
Webmaster@tc-vorster-wald.de;TC Vorster Wald e.V. Kaarst
djlafog@aol.com;TC SR Neuss-Erfttal e.V.
kontakt@tc-hemmerden.de;TC Hemmerden e.V.
heschenauer@web.de;TF Fischeln e.V.
jacob@tmssoftware.com;TMS
info@tmssoftware.com;TMS
